DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.02734,0.04102,0.0166,0.1167,0.02148,0.009766,0.01953,0.03223,0.0874,0.986,0.1299,0.09375,0.01465,0.01953
0.0293,0.0381,0.01367,0.104,0.021,0.006836,0.01758,0.02539,0.0796,0.9707,0.1201,0.0869,0.01758,0.02051
0.02832,0.0371,0.007812,0.0947,0.02344,0.007812,0.01758,0.02148,0.0713,0.9634,0.1074,0.084,0.01855,0.02051
0.03223,0.03027,0.00586,0.0869,0.02393,0.00879,0.0166,0.02051,0.0669,0.953,0.0947,0.08105,0.01758,0.01855
0.02734,0.03223,0.006836,0.0791,0.02881,0.009766,0.01465,0.01953,0.05957,0.9336,0.084,0.0703,0.01465,0.01172
0.02051,0.03125,0.006836,0.07324,0.02344,0.006836,0.012695,0.02148,0.0586,0.916,0.0752,0.06152,0.01074,0.012695
0.02051,0.03027,0.007812,0.06934,0.02246,0.006836,0.012695,0.02344,0.0542,0.9067,0.06836,0.0498,0.01172,0.006836
0.01855,0.03125,0.00879,0.06445,0.01758,0.00586,0.01172,0.02344,0.0498,0.8867,0.06152,0.03906,0.01465,0.00879
0.01367,0.0332,0.00879,0.0654,0.01563,0.003906,0.012695,0.02441,0.05078,0.8613,0.05664,0.0332,0.01465,0.007812
0.012695,0.03613,0.009766,0.0659,0.012695,0.003906,0.01465,0.02246,0.04443,0.837,0.05176,0.0293,0.01465,0.007812
0.01367,0.0381,0.01172,0.0674,0.01172,0.004883,0.01367,0.02539,0.0454,0.807,0.04688,0.02539,0.012695,0.009766
0.01172,0.04102,0.01367,0.06934,0.01074,0.003906,0.012695,0.02344,0.04688,0.7764,0.0459,0.02344,0.01367,0.01172
0.01172,0.03906,0.012695,0.06055,0.01074,0.00293,0.01172,0.02246,0.04688,0.7515,0.04297,0.02246,0.01367,0.007812
0.009766,0.042,0.01465,0.05273,0.009766,0.003906,0.01172,0.02148,0.04346,0.7373,0.04004,0.01855,0.01465,0.007812
0.01074,0.03418,0.012695,0.04688,0.00879,0.003906,0.01172,0.01953,0.03906,0.7227,0.0381,0.01367,0.01172,0.007812
0.01367,0.03125,0.01172,0.03906,0.00879,0.003906,0.009766,0.0166,0.03662,0.709,0.0371,0.01074,0.012695,0.01074
0.01465,0.03223,0.012695,0.04004,0.007812,0.003906,0.01074,0.01465,0.0332,0.7026,0.03613,0.01172,0.012695,0.007812
0.01465,0.0332,0.01172,0.03613,0.006836,0.004883,0.01074,0.01367,0.0327,0.701,0.03223,0.012695,0.01367,0.00879
0.01563,0.03516,0.00879,0.03906,0.006836,0.004883,0.009766,0.012695,0.03467,0.687,0.03125,0.01563,0.01563,0.00879
0.01758,0.02832,0.00879,0.042,0.006836,0.00586,0.009766,0.01172,0.03076,0.676,0.03027,0.01758,0.0166,0.00879
0.01953,0.02344,0.00879,0.04492,0.006836,0.00586,0.009766,0.01465,0.02881,0.666,0.02832,0.02051,0.01758,0.00879
0.01953,0.02246,0.009766,0.042,0.009766,0.007812,0.00879,0.01367,0.02832,0.654,0.02734,0.02441,0.01465,0.00879
0.01953,0.02344,0.007812,0.0371,0.012695,0.00879,0.00879,0.01465,0.02783,0.6436,0.02832,0.02734,0.01465,0.00879
0.01855,0.01953,0.007812,0.03418,0.01172,0.009766,0.009766,0.01465,0.02783,0.633,0.02734,0.03027,0.0166,0.009766
0.01855,0.01758,0.007812,0.03125,0.009766,0.01074,0.00879,0.01172,0.02588,0.63,0.02637,0.03418,0.01465,0.01172
0.01758,0.01563,0.006836,0.0293,0.009766,0.012695,0.009766,0.01074,0.02393,0.624,0.02441,0.0381,0.0166,0.012695
0.01855,0.01758,0.007812,0.0332,0.007812,0.012695,0.009766,0.012695,0.02344,0.619,0.02441,0.04102,0.0166,0.01074
0.01855,0.0166,0.00586,0.03613,0.00586,0.01172,0.00879,0.012695,0.021,0.614,0.02441,0.04492,0.0166,0.012695
0.0166,0.01953,0.006836,0.03906,0.00586,0.01074,0.01074,0.01465,0.02051,0.608,0.02441,0.04102,0.0166,0.01074
0.01563,0.0166,0.007812,0.0371,0.00586,0.00879,0.009766,0.0166,0.01758,0.598,0.02441,0.0371,0.0166,0.012695
0.01758,0.01563,0.00879,0.03418,0.00586,0.01074,0.01074,0.0166,0.01563,0.588,0.02344,0.03516,0.01758,0.01172
0.0166,0.01758,0.006836,0.03516,0.004883,0.00879,0.01172,0.01758,0.01465,0.576,0.02441,0.03223,0.01855,0.012695
0.01855,0.01758,0.007812,0.0332,0.003906,0.01074,0.012695,0.02051,0.01465,0.5635,0.02441,0.03223,0.01758,0.009766
0.01855,0.0166,0.00879,0.0332,0.003906,0.01074,0.012695,0.02148,0.012695,0.55,0.02344,0.03125,0.0166,0.01172
0.01953,0.012695,0.009766,0.03125,0.004883,0.01074,0.01367,0.01855,0.01172,0.534,0.02246,0.0293,0.0166,0.01172
0.02051,0.012695,0.01074,0.02832,0.006836,0.012695,0.01367,0.0166,0.012695,0.5127,0.02148,0.03027,0.0166,0.012695
