DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.1094,0.1074,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10547,0.1123,0.1133,0.1074,0.10547,0.10645
0.1094,0.10645,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10547,0.1123,0.1133,0.1074,0.10547,0.10645
0.1094,0.10645,0.1074,0.10547,0.10645,0.10645,0.1074,0.1074,0.10547,0.1123,0.1133,0.1074,0.10547,0.10645
0.1094,0.1074,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.1133,0.1074,0.10645,0.10645
0.1094,0.1074,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.1133,0.1074,0.10547,0.10645
0.1094,0.10645,0.1074,0.10547,0.10645,0.10645,0.1084,0.1084,0.10645,0.1133,0.1133,0.1074,0.10547,0.10645
0.1094,0.10645,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.1133,0.1074,0.10547,0.10645
0.1084,0.10645,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.1133,0.1074,0.10645,0.10645
0.1084,0.1074,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.1133,0.1074,0.10645,0.10645
0.1094,0.1074,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.1133,0.1084,0.10645,0.10645
0.1084,0.10645,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.1133,0.1084,0.10645,0.10645
0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.11426,0.1133,0.1074,0.10645,0.10645
0.1074,0.10645,0.1074,0.10547,0.10645,0.10645,0.1084,0.10645,0.10547,0.11426,0.1133,0.1074,0.10645,0.10645
0.1084,0.1074,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10547,0.11426,0.1133,0.1074,0.10645,0.10645
0.1074,0.10645,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10547,0.11426,0.1133,0.1074,0.10645,0.10645
0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.1084,0.1074,0.10547,0.11426,0.1133,0.1074,0.10645,0.10645
0.1074,0.1074,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10547,0.1133,0.1133,0.1074,0.10645,0.10645
0.1074,0.1074,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10547,0.1133,0.1133,0.1074,0.10645,0.10645
0.1084,0.1074,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.11426,0.1133,0.1074,0.10645,0.10645
0.1084,0.1074,0.1074,0.10645,0.10645,0.10645,0.1074,0.1074,0.10645,0.1133,0.1133,0.1074,0.10645,0.10645
0.1074,0.1074,0.1074,0.10645,0.10645,0.10547,0.1074,0.1074,0.10645,0.1133,0.11426,0.1074,0.10645,0.10645
0.1074,0.1074,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1133,0.11426,0.1074,0.10645,0.10645
0.1074,0.1074,0.1074,0.10645,0.10645,0.10645,0.1074,0.1074,0.10645,0.1133,0.11426,0.1074,0.10645,0.10645
0.1074,0.1074,0.1074,0.10645,0.10645,0.10645,0.10254,0.10645,0.10645,0.11426,0.11426,0.1074,0.10645,0.10645
0.1084,0.1074,0.1074,0.10645,0.10645,0.10645,0.09766,0.10645,0.10645,0.11426,0.11426,0.1074,0.10645,0.10645
0.1074,0.10645,0.1084,0.10645,0.10645,0.10645,0.0928,0.10547,0.10645,0.11426,0.11426,0.1074,0.10645,0.10645
0.1074,0.10645,0.1084,0.10645,0.10645,0.1074,0.08984,0.10547,0.10645,0.11426,0.11426,0.1074,0.10645,0.10547
0.1074,0.1074,0.1084,0.10645,0.10645,0.1074,0.08496,0.10645,0.10645,0.11426,0.11426,0.1074,0.10645,0.10547
0.1074,0.1074,0.1074,0.10645,0.10645,0.1074,0.0801,0.10645,0.10645,0.11426,0.11426,0.1074,0.10645,0.10547
0.10645,0.10645,0.1074,0.10645,0.10645,0.10645,0.0762,0.10547,0.10547,0.11426,0.11426,0.1074,0.10645,0.10547
0.10645,0.10645,0.1084,0.10547,0.10645,0.10645,0.07324,0.10547,0.10547,0.11426,0.11426,0.1074,0.10645,0.10547
0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.06836,0.10645,0.10547,0.11426,0.11426,0.1084,0.1074,0.10547
0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.0664,0.10645,0.10547,0.11426,0.11426,0.1084,0.1074,0.10547
0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.0625,0.10645,0.10547,0.11426,0.11426,0.1074,0.1074,0.10547
0.1074,0.10645,0.1074,0.10547,0.10645,0.10645,0.05957,0.10645,0.10645,0.11426,0.11426,0.1074,0.10645,0.10547
0.1074,0.10645,0.1074,0.10645,0.10645,0.10547,0.05762,0.10645,0.10547,0.11426,0.11426,0.1074,0.10645,0.10547
0.1074,0.1074,0.1084,0.10645,0.10645,0.10645,0.0547,0.1074,0.10547,0.11426,0.11426,0.1074,0.1074,0.10547
0.1074,0.10645,0.1074,0.10645,0.10645,0.10547,0.05273,0.1074,0.10547,0.11426,0.11426,0.1084,0.1074,0.10547
0.1074,0.1074,0.1074,0.10645,0.10645,0.10547,0.0498,0.1074,0.10547,0.11426,0.11426,0.1084,0.1074,0.10547
0.10645,0.1074,0.1074,0.10645,0.10645,0.10645,0.04785,0.1074,0.10547,0.11426,0.11426,0.1074,0.1074,0.10547
0.1074,0.1074,0.1074,0.10645,0.10645,0.10645,0.0459,0.1074,0.10547,0.11426,0.11426,0.1074,0.1074,0.1045
0.10645,0.1074,0.1074,0.10645,0.10645,0.10645,0.04492,0.1074,0.10547,0.11426,0.11426,0.1074,0.1074,0.10547
