DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.009766,0.02148,0.05078,0.03027,0.00879,0.02246,0.03418,0.006836,0.001953,0.1426,0.042,0.01172,0.416,0.1904
0.009766,0.01953,0.04688,0.0293,0.009766,0.02051,0.03125,0.007812,0.001953,0.1416,0.04492,0.012695,0.416,0.1836
0.00879,0.01758,0.04004,0.02637,0.01074,0.0166,0.02832,0.007812,0.001953,0.1406,0.04883,0.01563,0.416,0.1885
0.007812,0.01367,0.03516,0.02734,0.009766,0.01465,0.02441,0.00586,0.000977,0.1406,0.04883,0.01465,0.416,0.1836
0.004883,0.01172,0.03223,0.02637,0.00879,0.01367,0.02246,0.003906,0.000977,0.1396,0.0459,0.01465,0.418,0.1865
0.004883,0.009766,0.02832,0.02637,0.009766,0.01172,0.01953,0.003906,0.001953,0.1396,0.0459,0.0166,0.42,0.1807
0.006836,0.00879,0.02441,0.02734,0.009766,0.01172,0.01855,0.00293,0.001953,0.1387,0.04785,0.012695,0.421,0.1846
0.00586,0.006836,0.02148,0.02441,0.01074,0.009766,0.01953,0.001953,0.001953,0.1387,0.0498,0.009766,0.421,0.1797
0.004883,0.004883,0.01953,0.02148,0.01172,0.00879,0.01953,0.003906,0.00293,0.1387,0.05078,0.00879,0.418,0.1826
0.006836,0.003906,0.01855,0.02344,0.01172,0.00879,0.0166,0.004883,0.000977,0.1377,0.04785,0.009766,0.42,0.1719
0.006836,0.001953,0.02051,0.02637,0.009766,0.007812,0.01563,0.003906,0.00293,0.1377,0.04688,0.007812,0.419,0.1758
0.006836,0.001953,0.02344,0.0293,0.00879,0.006836,0.01465,0.00586,0.00293,0.1377,0.0459,0.00586,0.415,0.166
0.007812,0.000977,0.02539,0.03125,0.00879,0.006836,0.01465,0.006836,0.003906,0.1377,0.04492,0.006836,0.417,0.169
0.006836,0.000977,0.02734,0.03125,0.00879,0.007812,0.01465,0.007812,0.00293,0.1367,0.04395,0.004883,0.418,0.1621
0.00586,0.001953,0.0293,0.0293,0.00879,0.00879,0.01367,0.00879,0.004883,0.1357,0.04004,0.006836,0.417,0.165
0.004883,0.000977,0.0293,0.02832,0.00879,0.00879,0.01465,0.009766,0.003906,0.1357,0.0371,0.006836,0.413,0.1592
0.003906,0.001953,0.0293,0.02734,0.009766,0.00879,0.01367,0.01074,0.00586,0.1357,0.0381,0.00879,0.412,0.1611
0.001953,0.001953,0.02539,0.02637,0.01074,0.00879,0.01367,0.00879,0.006836,0.1367,0.0381,0.00879,0.412,0.1543
0.00293,0.00293,0.02246,0.02441,0.01074,0.009766,0.012695,0.00879,0.00586,0.1367,0.03613,0.01074,0.4111,0.1582
0.00293,0.00293,0.02051,0.02246,0.012695,0.01074,0.01367,0.009766,0.004883,0.1357,0.0332,0.01172,0.412,0.1514
0.00293,0.00293,0.02051,0.01953,0.01172,0.01172,0.01367,0.009766,0.00586,0.1367,0.0293,0.00879,0.4111,0.1533
0.00293,0.00293,0.02148,0.01855,0.01172,0.01172,0.012695,0.01172,0.00586,0.1367,0.02441,0.007812,0.4082,0.1475
0.00293,0.00293,0.02246,0.02051,0.012695,0.01367,0.012695,0.012695,0.00586,0.1357,0.02051,0.006836,0.3936,0.1494
0.001953,0.003906,0.02441,0.02051,0.01172,0.01465,0.01367,0.01172,0.007812,0.1357,0.01855,0.007812,0.3809,0.1445
0.00293,0.004883,0.02441,0.01953,0.01172,0.01563,0.01367,0.012695,0.006836,0.1357,0.01855,0.006836,0.371,0.1455
0.00293,0.004883,0.02148,0.02051,0.01172,0.01563,0.01367,0.01172,0.007812,0.1357,0.01855,0.00879,0.3643,0.1426
